2556,2753,98
5419,7822,5418
98,2557,77
5200,2752,2557
10947,10227,10226
5200,2753,5418
2753,5179,5418
2556,5179,2753
2556,2774,5179
5419,5418,5178
5179,5178,5418
7582,8303,8302
7583,7582,8302
99,98,100
100,98,143
77,2557,2752
7583,8302,7822
5659,7583,5658
5659,7582,7583
5658,7822,5419
7583,7822,5658
10227,8302,10226
2578,76,77
77,78,164
76,78,77
2730,2600,55
11186,10226,9987
10947,10226,11186
2709,2708,2601
11187,12628,11186
9986,11186,9987
11187,11186,9986
56,187,53
5353,5352,5245
5374,7867,5353
2708,5244,5245
54,55,2600
5244,5223,5374
55,186,75
76,55,165
5332,5265,5352
2730,5222,5375
7888,7909,5332
33,54,2601
54,187,56
54,56,186
5223,5375,5374
5223,2600,2730
2730,5375,5223
54,2709,2601
2600,2709,54
2709,5223,5244
12629,12628,13831
2687,2622,2708
57,53,188
10947,11186,12629
12868,12629,13830
12868,10947,12629
13152,10663,10664
2622,33,2601
2708,2622,2601
5244,5353,5245
2687,2708,5245
5528,5288,5309
5352,5265,5245
5352,5353,7887
5266,2686,5265
11,2643,10
2686,2623,2687
5069,2665,5288
13130,13131,10684
12629,13831,13830
12628,12629,11186
14091,14050,14071
2623,2686,2643
32,34,208
14050,14070,14071
57,188,52
32,33,2622
5289,2665,5069
2884,2644,2665
2623,11,32
32,209,34
209,31,34
53,33,208
53,208,34
185,74,56
56,57,185
56,53,57
31,11,230
31,209,11
2885,2664,5290
14070,12389,14071
52,207,35
35,210,30
34,207,52
31,30,210
31,12,30
210,35,31
35,34,31
35,207,34
12,10,231
12,230,10
9746,9747,8783
51,52,35
51,189,52
5306,7935,7936
81,73,2574
14071,12389,12388
12389,11426,11427
12389,11427,12388
2541,105,113
11666,12388,11427
9746,11426,9747
11426,9746,11427
2573,72,71
58,52,189
58,189,51
58,57,52
184,57,58
89,85,86
84,90,91
74,57,73
91,106,2549
107,106,91
81,168,72
82,81,72
8783,9022,9746
9506,11666,9507
86,87,88
593,374,572
2066,593,572
329,330,153
69,62,68
659,571,550
2548,91,90
88,89,86
111,107,2544
111,2543,107
109,89,88
2545,108,109
2545,110,108
2544,108,110
9263,9265,9264
130,354,129
595,372,373
130,129,111
110,130,111
6622,9263,9264
107,90,108
107,2548,90
2544,110,111
112,129,128
112,111,129
128,113,112
112,2542,106
2543,111,112
108,2544,107
9265,9023,9264
92,83,91
2563,83,92
112,106,2543
107,91,2548
2543,106,107
9507,9022,9023
9507,11666,11427
9506,9507,9023
9507,11427,9746
94,2561,81
2549,92,91
2563,82,83
2542,112,113
106,92,2549
105,92,106
105,2550,92
2541,104,105
2550,105,93
92,2550,93
93,2551,94
81,82,2562
81,93,94
9746,9022,9507
74,167,80
2561,80,81
81,2574,168
167,73,80
81,80,73
184,58,73
58,59,183
81,2562,93
168,2574,72
73,58,72
2574,73,72
72,58,183
82,71,83
71,82,2573
58,51,59
72,2573,82
2562,82,93
82,92,93
2563,92,82
72,59,71
72,183,59
50,49,60
71,60,70
70,84,83
71,59,60
48,49,38
61,60,49
51,50,59
50,37,49
60,59,50
51,35,36
12149,12388,11666
7935,5530,5307
13,30,12
14310,12388,12149
2662,2661,2647
14,13,8
36,37,50
13,29,30
14,29,13
29,36,30
2647,2661,2648
2648,6,7
14,7,15
14,15,28
46,40,41
2650,2649,2659
38,28,27
17,26,16
3,18,4
2649,2660,2659
2658,5296,2657
18,17,4
27,28,15
2651,3,4
26,27,16
26,39,27
39,38,27
14,28,29
28,38,37
70,60,61
70,61,69
62,69,61
38,49,37
61,49,48
37,29,28
26,25,40
48,62,61
62,48,47
46,63,47
47,39,40
40,39,26
26,17,25
25,17,18
41,40,25
197,44,198
64,45,65
40,46,47
63,62,47
64,65,66
197,176,65
63,46,64
45,46,41
65,44,197
45,44,65
45,41,42
42,44,45
21,241,220
242,220,241
23,24,19
42,23,43
264,461,285
23,42,24
41,25,24
42,41,24
25,18,24
19,18,3
24,18,19
3,2,19
21,0,241
20,2,1
5297,2657,5296
20,19,2
23,19,20
22,23,20
1,0,21
11907,12148,11667
11667,12148,12149
11666,11667,12149
67,66,87
11667,9506,11907
11907,9506,9265
11907,9265,9266
11906,11907,9266
11908,12148,11907
87,154,88
86,67,87
63,64,67
67,68,63
68,62,63
85,68,86
69,85,84
90,84,85
175,154,87
68,85,69
67,86,68
109,108,89
89,108,90
85,89,90
109,88,153
352,373,372
66,175,87
440,527,439
153,154,329
154,308,329
439,527,528
308,417,329
527,506,703
65,176,66
417,549,550
2174,484,2175
175,307,308
241,0,2654
241,2654,2415
220,22,21
2415,2414,242
198,219,264
418,528,549
219,263,264
219,43,22
219,22,220
198,44,43
198,43,219
197,198,285
176,175,66
285,286,197
307,175,176
703,682,527
176,286,307
198,264,285
418,439,528
285,461,440
285,440,286
286,440,439
286,439,307
307,418,308
439,418,307
681,549,528
703,748,682
527,682,528
440,461,506
263,462,264
704,703,506
506,505,704
505,506,461
946,747,967
505,462,484
461,462,505
2175,484,483
1935,1934,726
3374,1934,1935
748,945,769
725,726,704
682,769,681
682,748,769
11907,11909,11908
11907,11906,11909
4579,4578,3375
7462,7223,6018
1452,1693,3615
946,748,747
968,946,967
11910,11911,14549
14549,11911,14548
945,946,989
989,946,968
923,1012,1013
923,1011,1012
1033,1012,1164
769,945,924
769,924,770
990,1011,924
681,770,660
770,681,769
791,770,923
660,549,681
9268,11904,9267
660,550,549
308,418,417
418,549,417
396,329,417
11905,11906,9266
417,550,396
770,791,660
637,2066,572
637,638,2022
9276,9253,9232
572,2087,638
11906,11905,11910
814,813,1847
571,638,2087
9266,9267,11905
1334,1335,3973
6624,9261,6623
638,813,2022
813,637,2022
1782,1054,880
1100,1583,1077
1803,858,1057
902,1032,901
1605,1123,1055
1782,880,1055
1034,1055,880
6626,6625,6616
1782,1055,1054
1254,1275,1274
9260,9270,9269
9259,6625,6626
616,594,2065
835,2044,616
9260,6625,9259
1803,1057,879
835,616,814
835,814,1826
6624,9260,9261
6622,9264,6621
1095,1326,1094
6619,3978,3979
3976,1332,3975
2044,615,594
1329,1328,1332
1329,1091,1328
1095,1080,1096
3978,3977,3975
616,2065,593
637,813,814
835,1826,879
2044,594,616
814,2043,637
616,593,637
2043,616,637
814,1847,880
2043,814,616
1054,879,880
814,880,879
1826,814,879
1099,1100,1318
6626,6616,6615
835,1825,615
1123,1605,1122
1321,1099,1320
9271,9272,11901
1121,1296,1297
1325,1095,1096
14542,14541,14540
11919,14540,14541
1803,879,1056
879,1055,1056
6587,3922,4031
1121,1056,1122
1121,1584,1056
1143,1277,1122
9259,9271,9270
1121,1122,1296
1121,1561,1299
